t,count
0.000000,2176
5.000000,3760
10.000000,5504
15.000000,7304
20.000000,9216
25.000000,11184
30.000000,13224
35.000000,15376
40.000000,17672
45.000000,19984
50.000000,22344
55.000000,24880
60.000000,27416
65.000000,29968
70.000000,32776
75.000000,35528
80.000000,38512
85.000000,41432
90.000000,44336
95.000000,47608
100.000000,50848
105.000000,54008
110.000000,57504
115.000000,60976
120.000000,64624
